Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Ride_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Method
14-09-2025,06:05:00,CNR2329187,Cancelled by Driver,CUST119927,Prime Plus,Malleshwaram,Sarakki,,,No,,Yes,More than permitted people in there,No,,,17.2,,,UPI
06-09-2025,10:55:00,CNR4986941,Successful,CUST415779,Auto,Richmond Town,Koramangala 1st Block,3.2,5.2,No,,No,,No,,409,10.6,3.8,3.6,Wallet
21-09-2025,07:04:00,CNR2859886,Incomplete,CUST977330,Prime SUV,Kudlu,Chamarajpet,,,No,,No,,Yes,Other Issue,,3,,,UPI
20-09-2025,18:15:00,CNR3408819,Other,CUST405420,Mini,Ejipura,Sanjay Nagar,,,No,,No,,No,,,3.3,,,Card
14-09-2025,17:20:00,CNR2436363,Successful,CUST648913,Prime SUV,Jayanagar,Shivaji Nagar,9.7,10.6,No,,No,,No,,100,10.4,4.4,5,Card
25-09-2025,14:39:00,CNR1341153,Successful,CUST509420,Prime SUV,MG Road,Vijayanagar,11.8,13.1,No,,No,,No,,248,2.8,4.3,3.8,UPI
14-09-2025,18:45:00,CNR1272499,Successful,CUST474440,Bike,Sanjay Nagar,Richmond Town,4.9,8.3,No,,No,,No,,740,15.2,4.3,4.3,UPI
21-09-2025,19:10:00,CNR6578736,Cancelled by Driver,CUST239890,Auto,Chamarajpet,Kammanahalli,,,No,,Yes,Customer related issue,No,,,23.9,,,UPI
27-09-2025,17:41:00,CNR8795078,Successful,CUST829168,Mini,Banashankari,HSR Layout,9.2,11.4,No,,No,,No,,240,5.4,5,4.5,UPI
24-09-2025,13:48:00,CNR1620485,Successful,CUST407696,Prime Plus,Jalahalli,MG Road,8.8,9.3,No,,No,,No,,437,0.5,4.1,4.2,UPI
11-09-2025,12:47:00,CNR8942330,Successful,CUST365618,Auto,Hosur Road,Jalahalli,1.7,3.8,No,,No,,No,,359,7,4.5,4.5,UPI
28-09-2025,06:48:00,CNR6568772,Cancelled by Driver,CUST386488,Auto,Banerghatta Road,Koramangala 5th Block,,,No,,Yes,More than permitted people in there,No,,,9.5,,,UPI
28-09-2025,12:35:00,CNR6688090,Successful,CUST295892,Mini,Ulsoor,Banerghatta Road,9.3,10.7,No,,No,,No,,796,15.9,4.6,5,UPI
17-09-2025,19:40:00,CNR2385991,Successful,CUST862400,Mini,Koramangala 5th Block,Kudlu,7,9.7,No,,No,,No,,1342,38.6,5,4,UPI
07-09-2025,11:00:00,CNR6389033,Cancelled by Customer,CUST207581,Auto,Bharathnagar,Marathahalli,,,Yes,Wrong Address,No,,No,,,6.3,,,Cash
07-09-2025,13:34:00,CNR6897979,Successful,CUST568849,Auto,Sanjay Nagar,Ejipura,4.9,3.9,No,,No,,No,,1561,16.4,4.7,5,UPI
09-09-2025,22:43:00,CNR1962308,Cancelled by Driver,CUST178686,Bike,Residency Road,Banerghatta Road,,,No,,Yes,Customer related issue,No,,,6.6,,,UPI
28-09-2025,08:26:00,CNR8351320,Successful,CUST136489,Auto,Richmond Town,Sadananda Nagar,2.4,4.5,No,,No,,No,,351,8.3,4.3,5,UPI
13-09-2025,22:12:00,CNR1543335,Cancelled by Driver,CUST734487,Auto,Airport Road,Banerghatta Road,,,No,,Yes,Personal & Car related issues,No,,,2.4,,,UPI
19-09-2025,15:02:00,CNR7156398,Successful,CUST517368,Prime Sedan,Kundalahalli,Richmond Town,7.8,7.8,No,,No,,No,,798,12.2,4,4.1,Cash
02-09-2025,09:10:00,CNR9372568,Successful,CUST642895,Mini,Sarakki,Yelahanka,9.3,8.7,No,,No,,No,,240,7,4.6,4.4,UPI
09-09-2025,13:36:00,CNR4599894,Cancelled by Driver,CUST741599,Prime Sedan,Ulsoor,Jalahalli,,,No,,Yes,Personal & Car related issues,No,,,7.4,,,Card
14-09-2025,21:20:00,CNR8467726,Successful,CUST192055,eBike,Basavanagudi,Bharathnagar,3,4.8,No,,No,,No,,301,3.5,4.6,3.9,Cash
04-09-2025,15:15:00,CNR5871470,Successful,CUST414527,eBike,Ejipura,Ejipura,5.5,8.1,No,,No,,No,,753,21.4,4.9,5,UPI
21-09-2025,19:32:00,CNR7064832,Cancelled by Customer,CUST633469,Prime Plus,Jalahalli,HSR Layout,,,Yes,Wrong Address,No,,No,,,5.1,,,UPI
02-09-2025,15:27:00,CNR7189302,Successful,CUST590110,Bike,Sarakki,HSR Layout,2.4,6.1,No,,No,,No,,341,3.7,4.4,4,Card
05-09-2025,11:16:00,CNR7680015,Successful,CUST851759,Bike,Shivaji Nagar,Koramangala 1st Block,3.9,4.1,No,,No,,No,,592,22.1,4.7,4.1,UPI
27-09-2025,07:15:00,CNR3102634,Successful,CUST432427,Mini,Airport Road,Baiyappanahalli,4.1,7.4,No,,No,,No,,295,7.5,5,5,UPI
13-09-2025,20:59:00,CNR4052834,Successful,CUST905077,Prime SUV,Koramangala 5th Block,Frazer Town,0.5,1.5,No,,No,,No,,590,15.1,4.1,5,Cash
03-09-2025,08:07:00,CNR9692311,Cancelled by Driver,CUST260448,Prime Sedan,Rajajinagar,Basavanagudi,,,No,,Yes,Customer related issue,No,,,15.4,,,UPI
13-09-2025,22:03:00,CNR9705660,Cancelled by Customer,CUST397846,eBike,Kalyan Nagar,Jalahalli,,,Yes,Change of plans,No,,No,,,10.3,,,Card
06-09-2025,11:10:00,CNR9950276,Other,CUST197966,Mini,Rajajinagar,Peenya,,,No,,No,,No,,,25,,,Cash
